"";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"keywords"
"1";19341089100017;"UNIVERSITE PAUL VALERY";322;4097,42857142857;"";""
"2";26340016000382;"CHU MONTPELLIER - CENTRE ADMINISTRATIF ANDRE BENECH";209;3775,42857142857;"";""
"3";24340001700022;"MONTPELLIER MEDITERRANEE METROPOLE";165;1622,28571428571;"";""
"4";26340016000127;"HOPITAL LA COLOMBIERE";77;1359,28571428571;"";""
"5";26340016000366;"CHU MONTPELLIER LAPEYRONIE";71;1217,57142857143;"";""
"6";33492407300029;"HTH CENTRE DRAMATIQUE NATIONAL DE MONTPELLIER";67;164,142857142857;"";""
"7";21340172201787;"VILLE DE MONTPELLIER MONTPELLIER MEDITERRANEE METROPOLE";59;656,857142857143;"";""
"8";26840009000018;"CENTRE HOSPITALIER DE MONTFAVET";57;1102,28571428571;"";""
"9";26340011100013;"CENTRE HOSPITALIER DE BEZIERS";56;1204,42857142857;"";""
"10";26300017600010;"CENTRE HOSPITALIER ALES-CEVENNES";54;1040,42857142857;"";""
"11";26340390900017;"CENTRE HOSPITALIER INTERCOMMUNAL DU BASSIN DE THAU";51;1196,71428571429;"";""
"12";22340001100076;"CONSEIL DEPARTEMENTAL DE L'HERAULT";50;636,285714285714;"";""
"13";13002054800017;"UNIVERSITE DE MONTPELLIER";46;650,857142857143;"";""
"14";78821496300027;"INSTITUT REGIONAL DU CANCER MONTPELLIER";46;648;"";""
"15";26300003600032;"CENTRE HOSPITALIER UNIVERSITAIRE";45;884,857142857143;"";""
"16";26340016000036;"CHU ST ELOI";44;794,142857142857;"";""
"17";42121627600087;"KORIAN LA POMPIGNANE - MEDOTELS";44;766,857142857143;"";""
"18";26340016000085;"CENTRE HOSPITALIER GUI DE CHAULIAC";42;878,714285714286;"";""
"19";18009226400118;"INRAP MEDITERRANEE";41;321,142857142857;"";""
"20";37760837700083;"DEMD PRODUCTIONS";39;158,857142857143;"";""
"21";19341030500018;"COLLEGE CAMILLE CLAUDEL";37;139;"";""
"22";31906464800029;"TRADUCTIONS BERTRAND D. BOULFROY";36;284,285714285714;"";""
"23";19340955400014;"COLLEGE SIMONE VEIL";35;176,714285714286;"";""
