"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"1";1;1;1;1;19341089100017;"UNIVERSITE PAUL VALERY";322;4097,42857142857;"https://www.univ-montp3.fr/fr/présentation";"";"";"";""
"2";2;2;2;2;26340016000382;"CHU MONTPELLIER - CENTRE ADMINISTRATIF ANDRE BENECH";209;3775,42857142857;"";"https://fr.wikipedia.org/wiki/Centre_hospitalier_universitaire_de_Montpellier";"montpellier centre chu lhôpital ↑ consulté février modifier soins recherche";"montpellier centre chu lhôpital ↑ consulté février modifier soins recherche";""
"3";3;3;3;3;24340001700022;"MONTPELLIER MEDITERRANEE METROPOLE";165;1622,28571428571;"";"https://fr.wikipedia.org/wiki/Montpellier_Méditerranée_Métropole";"• montpellier modifier métropole décembre consulté communes ↑ communauté méditerranée";"• montpellier modifier métropole décembre consulté communes ↑ communauté méditerranée";"montpellier métropole agglomération autour changement communes département française habitants intercommunale"
"4";4;4;4;4;26340016000127;"HOPITAL LA COLOMBIERE";77;1359,28571428571;"https://www.chu-montpellier.fr/fr/a-propos-du-chu/decouvrir/etablissements/la-colombiere";"";"";"";""
"5";5;5;5;5;26340016000366;"CHU MONTPELLIER LAPEYRONIE";71;1217,57142857143;"https://www.chu-montpellier.fr/fr/a-propos-du-chu/decouvrir/etablissements/lapeyronie";"";"";"";""
"6";6;6;6;6;33492407300029;"HTH CENTRE DRAMATIQUE NATIONAL DE MONTPELLIER";67;164,142857142857;"";"https://fr.wikipedia.org/wiki/Théâtre_des_13_vents";"théâtre humain montpellier vents ↑ centre dramatique midi national trop";"théâtre humain montpellier vents ↑ centre dramatique midi national trop";""
"7";7;7;7;7;21340172201787;"VILLE DE MONTPELLIER MONTPELLIER MEDITERRANEE METROPOLE";59;656,857142857143;"https://www.montpellier.fr";"";"";"";""
"8";8;8;8;8;26840009000018;"CENTRE HOSPITALIER DE MONTFAVET";57;1102,28571428571;"";"https://fr.wikipedia.org/wiki/Centre_hospitalier_Montfavet_Avignon";"montfavet hospitalier centre avignon création modifier daccueil foyer maison service";"montfavet hospitalier centre avignon création modifier daccueil foyer maison service";""
"9";9;9;9;9;26340011100013;"CENTRE HOSPITALIER DE BEZIERS";56;1204,42857142857;"https://ch-beziers.fr/projet-detablissement";"";"";"";""
"10";10;10;10;10;26300017600010;"CENTRE HOSPITALIER ALES-CEVENNES";54;1040,42857142857;"http://www.ch-ales.fr/Accueil/";"";"";"";""
