"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1";"110000015";"11000001500013";"84.11Z";"32";"ASSEMBLEE NATIONALE";"ETI";"RUE";"DE L'UNIVERSITE";"75007";"PARIS 7"
"2";"110000023";"11000002300017";"84.11Z";"51";"SENAT";"ETI";"RUE";"DE VAUGIRARD";"75006";"PARIS 6"
"3";"110006012";"11000601200014";"84.11Z";"41";"MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES";"ETI";"QUAI";"D ORSAY";"75007";"PARIS 7"
"4";"110010014";"11001001400014";"84.23Z";"42";"MINISTERE DE LA JUSTICE";"ETI";"PL";"VENDOME";"75001";"PARIS 1"
"5";"110014016";"11001401600015";"84.11Z";"41";"MINISTERE DE L'INTERIEUR";"ETI";"PL";"BEAUVAU";"75008";"PARIS 8"
"6";"110019015";"11001901500012";"84.11Z";"12";"MINISTERE DES OUTRE-MER";"PME";"RUE";"OUDINOT";"75007";"PARIS 7"
"7";"110040011";"11004001100055";"84.11Z";"32";"MINISTERE DES SPORTS, DE LA JEUNESSE, DE L'EDUCATION POPULAIRE ET DE LA VIE ASSOCIATIVE";"ETI";"AV";"DE FRANCE";"75013";"PARIS 13"
"8";"110043015";"11004301500012";"84.11Z";"22";"MINISTERE DE L'EDUCATION NATIONALE ET DE LA JEUNESSE";"PME";"RUE";"DE GRENELLE";"75007";"PARIS 7"
"9";"110068012";"11006801200050";"84.11Z";"32";"MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE";"ETI";"BD";"SAINT GERMAIN";"75007";"PARIS 7"
"10";"110090016";"11009001600012";"84.11Z";"42";"MINISTERE DES ARMEES";"ETI";"RUE";"ST DOMINIQUE";"75007";"PARIS 7"
"11";"110090016";"11009001600046";"84.11Z";"0";"MINISTERE DES ARMEES";"ETI";"BD";"DU GAL MARTIAL VALIN";"75015";"PARIS 15"
"12";"120000146";"12000014600015";"84.11Z";"12";"DELEGATION GENERALE A LA LANGUE FRANCAISE ET AUX LANGUES DE FRANCE";"PME";"RUE";"DES PYRAMIDES";"75001";"PARIS 1"
"13";"120015045";"12001504500087";"84.25Z";"00";"DIRECTION GENERALE DE LA SECURITE CIVILE ET DE LA GESTION DES CRISES";"ETI";"QUAI";"DU DOCTEUR DERVAUX";"92600";"ASNIERES-SUR-SEINE"
"14";"120015169";"12001516900010";"84.24Z";"32";"DIRECTION CENTRALE SECURITE PUBLIQUE";"ETI";"RUE";"CAMBACERES";"75008";"PARIS 8"
"15";"120023015";"12002301500049";"84.11Z";"0";"DIRECTION GENERALE DES DOUANES ET DROITS INDIRECTS";"ETI";"QUAI";"DE LA DOUANE";"33000";"BORDEAUX"
"16";"120027016";"12002701600019";"84.11Z";"42";"INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES";"GE";"BD";"ADOLPHE PINARD";"75014";"PARIS 14"
"17";"120043120";"12004312000027";"84.12Z";"32";"INSPECTION GENERALE DE L'EDUCATION NATIONALE";"ETI";"RUE";"DE LA FEDERATION";"75015";"PARIS 15"
"18";"120066022";"12006602200027";"84.13Z";"NN";"SECRETARIAT GENERAL DU MEDDTL";"";"";"GRANDE ARCHE";"92800";"PUTEAUX"
"19";"120068051";"12006805100040";"84.11Z";"11";"DIRECTION GENERALE DE LA PREVENTION DES RISQUES";"PME";"AV";"GUSTAVE GASPARD CORIOLIS";"31100";"TOULOUSE"
"20";"130000029";"13000002900012";"84.13Z";"11";"GIP MAISON DE L'EMPLOI MEUSIENNE";"PME";"PL";"PIERRE FRANCOIS GOSSIN";"55000";"BAR-LE-DUC"
"21";"130000136";"13000013600015";"84.11Z";"22";"INSTITUT NATIONAL DU TRAVAIL DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE";"PME";"RTE";"DE SAINT BEL";"69280";"MARCY L'ETOILE"
"22";"130000383";"13000038300013";"85.42Z";"22";"INSTITUT NATIONAL SUPERIEUR DE FORMATION ET DE RECHERCHE POUR L'EDUC DES JEUNES HANDICAPES ET LES ENSEIGNEMENTS ADAPTES";"PME";"AV";"DES LANDES";"92150";"SURESNES"
"23";"130001761";"13000176100365";"84.13Z";"0";"DIRECTION INTERDEPARTEMENTALE DES ROUTES MEDITERRANEE";"ETI";"RUE";"ANTOINE ZATTARA";"13003";"MARSEILLE 3"
"24";"130002702";"13000270200186";"84.13Z";"11";"INSTITUT NATIONAL DE L'ORIGINE ET DE LA QUALITE";"PME";"";"LA JASSE DE MAURIN";"34970";"LATTES"
